ma,year,MAR,NI,DR_SYNCH,MCAP,LEV,M/B,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
ADS,2017,-0.396052264,0.208117472,1,26.57271192,0.724733161,0.805521813,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2018,0.069835163,0.1626326,6,26.3605374,0.736135018,0.621040738,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2019,0.030829041,0.029506402,3,26.45997129,0.76745774,0.769126762,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2020,-0.240950615,0.078836079,5,27.40785172,0.770310842,1.895040464,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ADS,2021,1.883899288,0.125611141,7,26.64913367,0.705867641,0.641551461,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ADS,2022,-0.578198229,0.200061379,9,27.05576468,0.698814433,0.856132846,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ADS,2023,0.105210518,0.133301177,9,27.08403578,0.633255998,0.630210994,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AGG,2020,-0.23478501,0.179153352,7,29.11378417,0.762058362,1.89814635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AGG,2021,-0.037811695,0.095609034,7,28.53360522,0.787057221,0.92165383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AGG,2022,0.099495131,0.039154719,6,28.75932931,0.754416204,1.133842999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AGG,2023,-0.133289906,0.148971355,8,28.34369118,0.690519935,0.709090155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AGM,2016,-0.265296247,0.034581773,2,25.78801046,0.528003435,0.452511424,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
