ma,year,BIG4,LEV,M/B,SALES,SHRINC,LOSS,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AME,2021,0,0.881151729,0.781455215,1.7847E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AME,2022,0,0.643072759,0.715267221,2.21325E+12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AME,2023,0,0.687247897,0.4639995,2.21532E+12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AMV,2016,0,0.410037437,2.634234842,11351682997,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2017,0,0.153767327,2.769995124,71859931956,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2018,0,0.125133033,1.079610904,4.50796E+11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2019,0,0.092187706,0.637821307,4.87382E+11,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2020,0,0.110014052,0.481940904,1.61982E+11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2021,0,0.206404646,0.262619604,2.20413E+11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AMV,2022,0,0.16241114,0.312755742,2.84845E+11,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AMV,2023,0,0.143358936,0.29477932,1.9657E+11,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ANV,2016,0,0.566241472,0.599996467,2.82453E+12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2017,0,0.484159962,2.439961363,2.94914E+12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2018,0,0.460453818,1.512323339,4.11799E+12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2019,0,0.422903997,1.325609169,4.48087E+12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2020,0,0.517183318,1.535519674,3.43866E+12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2021,0,0.522099513,1.59452816,3.49393E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ANV,2022,0,0.47286287,1.400536031,4.89665E+12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ANV,2023,0,0.442978583,1.629465971,4.43912E+12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
APH,2020,1,0.578996758,1.085249734,8.48489E+12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
APH,2021,1,0.517934424,0.241833035,1.47939E+13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
APH,2022,1,0.501656815,0.325628814,1.73266E+13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
APH,2023,1,0.537083134,0.277633431,1.45219E+13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
API,2016,0,0.480602521,2.828131065,49722122626,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2017,0,0.660483676,1.769914249,2.77207E+11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2018,0,0.727353903,0.908585759,8.28459E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2019,0,0.799039541,1.174169161,4.516E+11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
API,2020,0,0.817242654,4.134305752,4.90036E+11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
API,2021,0,0.703494976,0.397995522,1.16801E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
API,2022,0,0.611279446,0.460894602,7.82604E+11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
API,2023,0,0.592582942,0.7854589,1.93186E+11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ARM,2016,0,0.628977203,2.207696913,1.83417E+11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2017,0,0.692931042,2.271554263,2.53637E+11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2018,0,0.650386286,2.325106935,1.81427E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2019,0,0.740103122,2.793500908,2.90381E+11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2020,0,0.811976956,4.272652866,1.79284E+11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ARM,2021,0,0.696557246,4.275335724,1.91457E+11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ARM,2022,0,0.701185691,1.92634279,1.80389E+11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ARM,2023,0,0.789393918,2.328480185,2.04269E+11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ASG,2020,0,0.337743173,1.339899289,6.88099E+11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ASG,2021,0,0.354986379,1.340923769,7.222E+11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ASG,2022,0,0.394158063,0.946125365,1.97951E+12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ASG,2023,0,0.39333165,0.864718365,1.91985E+12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ASM,2016,0,0.458137132,0.935622755,1.40649E+12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2017,0,0.493564467,0.697320039,2.10078E+12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2018,0,0.520904178,0.26270607,8.88713E+12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2019,0,0.595938287,0.745564358,1.42238E+13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2020,0,0.609641204,0.563156757,1.25246E+13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ASM,2021,0,0.583009949,0.298969391,1.13979E+13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ASM,2022,0,0.589244661,0.45715472,1.37492E+13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ASM,2023,0,0.614610355,0.393446047,1.19732E+13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ASP,2016,0,0.552781538,0.650546521,1.33648E+12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASP,2017,0,0.684959768,0.528248996,1.90994E+12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASP,2018,0,0.693595402,0.542939747,2.64193E+12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASP,2019,0,0.695591441,0.523223408,2.55835E+12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ASP,2020,0,0.717481563,0.927207564,2.72345E+12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASP,2021,0,0.757640778,0.394270288,3.39142E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ASP,2022,0,0.766825068,0.418794368,4.08207E+12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ASP,2023,0,0.828154914,0.400746425,3.72269E+12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
AST,2018,1,0.166841929,5.514128785,8.64927E+11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AST,2019,1,0.262831798,4.192087561,1.14099E+12,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AST,2020,1,0.135541251,4.347893255,3.59461E+11,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AST,2021,1,0.179242561,6.175170163,1.54062E+11,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AST,2022,1,0.213161125,5.532698015,6.0359E+11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AST,2023,1,0.227947305,4.326034705,1.09969E+12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ATS,2016,0,0.378823307,4.42219992,54283974740,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ATS,2017,0,0.440581818,3.323565562,71598584034,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ATS,2018,0,0.325160233,2.726828522,45454895234,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
